coef;scartati;esatti;sbagliati;accuratezza
0,100000;0;2099;5788;0,266134
0,200000;0;2099;5788;0,266134
0,300000;64;2096;5727;0,267928
0,400000;776;2075;5036;0,291801
0,500000;3709;2017;2161;0,482767
0,600000;4061;1970;1856;0,514898
0,700000;4413;1923;1551;0,553541
0,800000;4738;1858;1291;0,590029
0,900000;5137;1783;967;0,648364
