coef;scartati;esatti;sbagliati;precisione;
0,000000;0;0;1;0,000000;
0,100000;0;0;1;0,000000;
0,200000;0;0;1;0,000000;
0,300000;0;0;1;0,000000;
0,400000;0;0;1;0,000000;
0,500000;1;0;0;-1,#IND00;
0,600000;1;0;0;-1,#IND00;
0,700000;1;0;0;-1,#IND00;
0,800000;1;0;0;-1,#IND00;
0,900000;1;0;0;-1,#IND00;
1,000000;1;0;0;-1,#IND00;
