coef;scartati;esatti;sbagliati;accuratezza
0,100000;555;2100;5789;0,266193
0,200000;555;2100;5789;0,266193
0,300000;619;2097;5728;0,267987
0,400000;1331;2076;5037;0,291860
0,500000;4264;2018;2162;0,482775
0,600000;4616;1971;1857;0,514890
0,700000;4969;1924;1551;0,553669
0,800000;5294;1859;1291;0,590159
0,900000;5693;1784;967;0,648491
